Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
Green 1,9.75,614,Nonfiction/history,Get rid of?,
White,9.25,720,Nonfiction/biography,Affection,
Multi,9.5,612,Fiction/modern classic,Hm,De Beauvoir 
Green 1,9.25,586,Philosophy,Someday,De Beauvoir 
Green 2,9,468,Nonfiction/autobiography ,Hm,De Beauvoir 
Green 1,9,480,Nonfiction/autobiography ,Hm,De Beauvoir 
White,9,398,Nonfiction/autobiography ,Affection,De Beauvoir 
Brown 2,7,398,Fiction/19th cent classic,So good,Flaubert
Blue 3,7,288,Fiction/postmodern,Affection,
Green 2,7,176,Fiction/modern,Forgot about this one,Simenon
Blue 1,8.25,246,Fiction/children's ,Hm,LM Montgomery 
Brown 1,8.25,248,Fiction/children's ,Meh,LM Montgomery 
Purple 1,6.75,282,Fiction/modern classic,A good one,
Orange 3,7.25,272,Fiction/modern,Get rid of,
White,7,244,Fiction/children's ,Get rid of?,
Black,7,376,Nonfiction/history,Remniscence ,
Grey,6.5,118,Nonfiction/music ,Read again,
Yellow 3,6.75,308,Fiction/children's classic,Get rid of,
Black,6.75,160,Nonfiction/erotica,Reminiscence,
White,7,176,Nonfiction/humor,Reminiscence,
White,7,182,Fiction/modern classic,Nostalgia ,
White,6.5,152,Fiction/erotica,Reminiscence,
Multi,6.75,138,Fiction/19th cent,Duplicate/get rid of,
Blue 2,7.25,162,Philosophy,Hm,
Brown 2,7,380,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,780,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,788,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,848,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,382,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,364,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,830,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,762,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,860,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,882,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,485,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,838,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,856,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,486,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,522,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,486,Fiction/19th cent classic,Burden,Charles Dickens
Multi,7.75,308,Fiction/modern,Brand new!,Waugh
Blue 2,8,192,History/SF,Read soon,
Multi,9.5,342,Nonfiction/essays,Read again,
Orange 3,9.5,322,Nonfiction/history,Reminiscence,
Blue 1,10.75,134,Comics/alternative,Reminiscence,
Multi,8.5,292,Sports/gymnastics,That was good,
Pink 3,8.75,178,Nonfiction/essays,Where *did* I get this?,
Multi,9.25,342,Nonfiction/history,A classic,
White,9,348,Nonfiction/history,Nostalgia,
Orange 3,7.75,418,Nonfiction/history,Affection,Mike Davis 
Multi,8,432,Nonfiction/history,Nostalgia,Mike Davis 
Green 1,8.5,358,Nonfiction/essays,Get rid of,
Brown 1,8.25,240,Poetry,Nostalgia,
Black,8.25,192,French,I really should work on reading this one,
Multi,9,236,Poetry,Nostalgia,Maggie Dubris
Multi,7.75,240,Sports/rowing,A good one,
Multi,8,88,Fiction/contemporary ,Nostalgia,
Brown 2,8.5,168,Fiction/modern,Get rid of?,
Blue 2,8.5,192,Fiction/modern,Affection,Karel Capek
Black,9.25,672,Fiction/postmodern,A museum piece,
Multi,8.75,436,Fiction/postmodern,Get rid of,
Multi,9.5,562,Fiction/general,Cringestalgia,
Multie,8.5,256,Fiction/modern,Relevant?,
White,8.75,254,Nonfiction/essays,Someday ,
Gray,8.5,182,Nonfiction ,Remembrance ,
Purple 2,8.25,244,Fiction/modern,Forgot about this one,
Black,9.25,374,Nonfiction/biography ,Meh,
Gray,9.5,558,Nonfiction/biography ,Get rid of,
Blue 3,8,306,Poetry,Someday,NYRB
Green 1,7.75,666,Nonfiction/autobiography ,Read again,
Blue 2,8,346,Fiction/modern,Get rid of,
Orange 3,9,366,Literary theory,Reminiscence,Derrida
Green 1,8.25,298,Nonfiction/essays,Formative,
White,8.25,380,Nonfiction/essays,Affection ,
Green 2,8.25,342,Nonfiction/essays,Affection,
Blue 1,8.25,208,Fiction/modern,Hm,
White,8.25,414,Nonfiction/polemic,Get rid of?,
White,9.25,88,Literary theory,Meh,
White,9,320,Literary theory,Affection,
Black,9,160,Literary theory,Get rid of,Derrida
White ,9,160,Literary theory,Reminiscence,
